team,games,wins,simple_win_pct,network_rating,point_diff_avg,simple_sos,network_sos,simple_tier,network_tier
Seattle Seahawks,17,14,0.8235294117647058,1.0,11.235294117647058,0.49826989619377166,0.4208795107715401,Elite,Elite
Los Angeles Rams,17,12,0.7058823529411765,0.9524266228961886,10.117647058823529,0.5259515570934257,0.4496150664673936,Elite,Elite
Houston Texans,17,12,0.7058823529411765,0.7702309037506888,6.411764705882353,0.5224913494809688,0.46650675173373385,Elite,Elite
Jacksonville Jaguars,17,13,0.7647058823529411,0.753618098820254,8.117647058823529,0.47750865051903113,0.42677819965322084,Elite,Elite
Denver Broncos,17,14,0.8235294117647058,0.7197889432651949,5.294117647058823,0.4186851211072664,0.3151469801578319,Elite,Elite
New England Patriots,17,14,0.8235294117647058,0.691601274479749,10.0,0.39100346020761245,0.24061264183799705,Elite,Elite
Buffalo Bills,17,12,0.7058823529411765,0.5715026408784869,6.823529411764706,0.47058823529411764,0.32897300719312017,Elite,Elite
San Francisco 49ers,17,12,0.7058823529411765,0.567203049176002,3.8823529411764706,0.49826989619377166,0.46323235424196924,Elite,Elite
Detroit Lions,17,9,0.5294117647058824,0.4731320211034928,4.0,0.48442906574394456,0.36713802160692194,Mid,Mid
Green Bay Packers,17,9,0.5294117647058824,0.47305550479782965,1.8235294117647058,0.4809688581314879,0.3347200647341833,Mid,Mid
Philadelphia Eagles,17,11,0.6470588235294118,0.43009593718235767,3.176470588235294,0.47058823529411764,0.35901107864915505,Mid,Mid
Chicago Bears,17,11,0.6470588235294118,0.4232407411460788,1.5294117647058822,0.4532871972318339,0.32034274381281524,Mid,Mid
Baltimore Ravens,17,8,0.47058823529411764,0.4040775324156391,1.5294117647058822,0.5051903114186851,0.40491157215087575,Mid,Mid
Los Angeles Chargers,17,11,0.6470588235294118,0.4036047695011766,1.6470588235294117,0.46712802768166084,0.3559467464659623,Mid,Mid
Indianapolis Colts,17,8,0.47058823529411764,0.393249743874394,3.176470588235294,0.5397923875432525,0.48216416464403955,Mid,Mid
Pittsburgh Steelers,17,10,0.5882352941176471,0.3887616265827985,0.5882352941176471,0.5017301038062284,0.389740755968721,Mid,Mid
Kansas City Chiefs,17,6,0.35294117647058826,0.36273267349100474,2.0,0.5121107266435986,0.3939468057626986,Bottom,Mid
Minnesota Vikings,17,9,0.5294117647058824,0.3431522358071562,0.6470588235294118,0.5086505190311418,0.3844848318514574,Mid,Mid
Tampa Bay Buccaneers,17,8,0.47058823529411764,0.2999885941594283,-1.8235294117647058,0.5294117647058825,0.41717953256780616,Mid,Mid
Atlanta Falcons,17,8,0.47058823529411764,0.2464793246098752,-2.823529411764706,0.4948096885813149,0.37906162624038053,Mid,Mid
Cincinnati Bengals,17,6,0.35294117647058826,0.22598409898696442,-4.588235294117647,0.5190311418685122,0.3973538532261658,Bottom,Mid
Carolina Panthers,17,8,0.47058823529411764,0.2167855783585284,-4.0588235294117645,0.5190311418685122,0.41075939499792585,Mid,Mid
New York Giants,17,4,0.23529411764705882,0.18701097117646023,-3.411764705882353,0.5190311418685122,0.3633463113955915,Bottom,Mid
Washington Commanders,17,5,0.29411764705882354,0.18203393568964762,-5.588235294117647,0.5017301038062284,0.36320090133413635,Bottom,Mid
Dallas Cowboys,17,7,0.4117647058823529,0.1712368881286914,-2.3529411764705883,0.43598615916955014,0.3097221952894635,Mid,Bottom
Cleveland Browns,17,5,0.29411764705882354,0.15810052310636297,-5.882352941176471,0.4844290657439447,0.3512578349196812,Bottom,Bottom
New Orleans Saints,17,6,0.35294117647058826,0.1526425589559775,-4.529411764705882,0.4948096885813149,0.3786856808093309,Bottom,Bottom
Miami Dolphins,17,7,0.4117647058823529,0.15254151598348953,-4.529411764705882,0.4878892733564013,0.34389954745377677,Mid,Bottom
Arizona Cardinals,17,3,0.17647058823529413,0.12731506947501528,-7.823529411764706,0.5674740484429065,0.5209794257647079,Bottom,Bottom
New York Jets,17,3,0.17647058823529413,0.12418809487847045,-11.941176470588236,0.5501730103806227,0.38639733118077446,Bottom,Bottom
Tennessee Titans,17,3,0.17647058823529413,0.1141195994130214,-11.411764705882353,0.5743944636678201,0.5276242927786674,Bottom,Bottom
Las Vegas Raiders,17,3,0.17647058823529413,0.0,-11.235294117647058,0.5363321799307958,0.42628184642837985,Bottom,Bottom
