team,covers,total_games,pushes,non_push_games,cover_pct,non_cover
Seattle Seahawks,10,13,0,13,76.92,3
New England Patriots,9,13,0,13,69.23,4
Los Angeles Rams,9,13,0,13,69.23,4
San Francisco 49ers,8,13,0,13,61.54,5
Jacksonville Jaguars,8,13,0,13,61.54,5
Carolina Panthers,8,13,0,13,61.54,5
Chicago Bears,7,13,1,12,58.33,5
New York Giants,7,13,0,13,53.85,6
Indianapolis Colts,7,13,0,13,53.85,6
Houston Texans,7,13,0,13,53.85,6
New York Jets,7,13,0,13,53.85,6
Detroit Lions,7,13,0,13,53.85,6
Dallas Cowboys,7,13,0,13,53.85,6
Miami Dolphins,7,13,0,13,53.85,6
Philadelphia Eagles,7,13,0,13,53.85,6
Los Angeles Chargers,7,13,0,13,53.85,6
Pittsburgh Steelers,6,13,1,12,50.0,6
Atlanta Falcons,7,14,0,14,50.0,7
Arizona Cardinals,6,13,0,13,46.15,7
Cincinnati Bengals,6,13,0,13,46.15,7
Buffalo Bills,6,13,0,13,46.15,7
Tennessee Titans,6,13,0,13,46.15,7
Green Bay Packers,6,13,0,13,46.15,7
Las Vegas Raiders,5,13,0,13,38.46,8
New Orleans Saints,5,13,0,13,38.46,8
Minnesota Vikings,5,13,0,13,38.46,8
Kansas City Chiefs,5,13,0,13,38.46,8
Denver Broncos,5,13,0,13,38.46,8
Cleveland Browns,5,13,0,13,38.46,8
Tampa Bay Buccaneers,5,14,0,14,35.71,9
Baltimore Ravens,4,13,0,13,30.77,9
Washington Commanders,4,13,0,13,30.77,9
